Action ID,Action Name,Action Definition,Action Source,MitigationCode
A1011_Gipiškis2024,GPAI models explaining model outputs in a zero-sum debate game,"Debate is a technique that aims to produce reliable explanations of AI model outputs that are too complicated for humans to understand, by letting two GPAI models role-playing in a debate produce an explanation in a dialogue [102].
For example, an AI model may produce an output which is time-consuming for humans to verify as doing so may require going through extensive sources.
Given such an output, the developer can use two natural language AI systems in an adversarial two-player setup to explain the output. These two natural language AI systems can be copies of the AI model that produced the output.
In this setup, one AI system gives a short explanation of the output. The second AI system responds to this explanation with a counter-explanation or an argument why the first explanation was not correct. This continues for a fixed number of turns, with the two AI systems pointing out inconsistencies in each others’ explanations.
After this sequence of statements, a human or an AI judge evaluates the ex- planations of both AI systems to determine which one is more convincing. The results of this debate can then be used for further training of the models via reinforcement learning, where outputs that are more truthful and convincing arguments and explanations are positively reinforced, while misleading or false outputs are negatively reinforced.",Gipiškis2024,2.2 Model Alignment
A1026_Uuk2024,Harmlessness training,"State-of-the-art reinforcement learning and fine-tuning techniques, such as Reinforcement Learning from Human Feedback (RLHF) or Direct Preference Optimization (DPO), to ensure models do not engage in unsafe behavior.",Uuk2024,2.2 Model Alignment
A0017_Bengio2025,Safety Analysis,"Helps understand the dependencies between components and the system that they are part of, in order to anticipate how component failures could lead to system-level hazards.

This approach is used across safety- critical fields, e.g. to anticipate and prevent aircraft crashes or nuclear reactor core meltdowns",Bengio2025,2.3 Model Safety Engineering
A0019_Bengio2025,Safety of The Intended Function,"An approach that requires engineers to provide evidence that a system is safe when operating as intended.

This approach is used in many engineering fields, such as in the construction and testing of road vehicles. ",Bengio2025,2.3 Model Safety Engineering
A0118_Future of Life Institute2024,Hazardous Knowledge Unlearning,Has your organization removed hazardous knowledge from its flagship model via unlearning techniques before deployment?,Future of Life Institute2024,2.3 Model Safety Engineering
A0270_EU AI Office2025,Safety Mitigations,"Signatories commit to: (1) implementing technical safety mitigations along the entire model lifecycle that are proportionate to the systemic risks arising from the development, the making available on the market, and/or the use of GPAISRs, in order to reduce the systemic risks of such models to acceptable levels, and further reduce systemic risk as appropriate; and (2) ensuring that safety mitigations are proportionate and state-of-the-art.",EU AI Office2025,2.3 Model Safety Engineering
A0417_NIST2024,Threat Modeling Process,Engage in threat modeling to anticipate potential risks from GAI systems,NIST2024,2.3 Model Safety Engineering
A0480_NIST2024,Threat Profiling,"Profile threats and negative impacts arising from GAI systems interacting with, manipulating, or generating content, and outlining known and potential vulnerabilities and the likelihood of their occurrence.",NIST2024,2.3 Model Safety Engineering
A0495_NIST2024,Statistical Bias Management,"Assess and manage statistical biases related to GAI content provenance through techniques such as re-sampling, re-weighting, or adversarial training.",NIST2024,2.3 Model Safety Engineering
A0498_NIST2024,Privacy-Enhancing Technologies,"Use techniques such as anonymization, differential privacy or other privacy-enhancing technologies to minimize the risks associated with linking AI-generated content back to individual human subjects.",NIST2024,2.3 Model Safety Engineering
A0514_NIST2024,Inappropriate Query Handling,"Verify that systems properly handle queries that may give rise to inappropriate, malicious, or illegal usage, including facilitating manipulation, extortion, targeted impersonation, cyber-attacks, and weapons creation.",NIST2024,2.3 Model Safety Engineering
A0518_NIST2024,User Satisfaction Survey,Conduct user surveys to gather user satisfaction with the AI-generated content and user perceptions of content authenticity. Analyze user feedback to identify concerns and/or current literacy levels related to content provenance and understanding of labels on content.,NIST2024,2.3 Model Safety Engineering
A0529_NIST2024,ML Explanation Application,"Apply and document ML explanation results such as: Analysis of embeddings, Counterfactual prompts, Gradient-based attributions, Model compression/surrogate models, Occlusion/term reduction.",NIST2024,2.3 Model Safety Engineering
A0731_NIST2024,Information Security; Harmful Bias and Homogenization,"Evaluate GAI content and data for representational biases and employ
techniques such as re-sampling, re-ranking, or adversarial training to mitigate
biases in the generated content. (AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring). ",NIST2024,2.3 Model Safety Engineering
